Номенклатура,Номенклатура.Код,янв. 2024,февр. 2024,март 2024,апр. 2024,май 2024,июнь 2024,июль 2024,авг. 2024,сент. 2024,окт. 2024,нояб. 2024,дек. 2024,янв. 2025,февр. 2025,март 2025,апр. 2025,май 2025,июнь 2025,июль 2025,авг. 2025,сент. 2025,окт. 2025,нояб. 2025,дек. 2025,янв. 2026,февр. 2026,март 2026,апр. 2026,май 2026,июнь 2026,июль 2026,авг. 2026,сент. 2026,Итого
,,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество
"  F/UTP (24 AWG), кат.5Е экран, 4 пары, серый  305м ITK",200400085_,5534,9126,8034,11110,11371,10023,11079,6747,8093,10499,7080,8523,6155,6507,7371,9556,2023,7879,10726,8688,5701,3675,1742,4975,1530,3000,470,1745,1155,4980,2770,1800,605,200272
  Механизм блокировки для КМИ (40-95А) IEK,120100031_,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4
  Миниконтактор МКИ-10610 6А 230В IEK (1/100),200400050_,1,13,,5,5,3,3,,14,2,,,2,,,1,1,2,2,3,2,4,6,,2,9,,2,14,3,14,4,,117
"  Пускатель ПРК32 0,63-1А 380В IEK (1) !!!",120100066_,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,,,5
"  Пускатель ПРК32 1,6 In=1,6А Ir=1-1,6А Ue 660В IEK (1/50) !!!",120100067_,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
  Пускатель ПРК32 2.5 In=2.5А Ir=1.6-2.5A Ue 660В IEK  (50) !!!,120100079_,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
"  Трансформатор тока ТТИ-А  100/5А  5ВА  класс 0,5  IEK",270300099_,9,3,3,8,,6,36,,,,21,27,6,31,18,9,6,9,16,3,3,9,27,3,,3,,,3,3,1,,,263
 3 КВтп  10х70/120-02 IEK!!!,280300354_,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4
 3 КВтп 10х150-240-02 IEK !!!,280300356_,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
 BA 47-100 (1ф)  16А IEK (12/120) !!!,010700048_,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,11,12
 BA 47-100 (1ф) 100А IEK (4/40) E-PRO,010700118_,,,4,8,,,4,,,,2,10,,63,9,,20,,,11,,7,,,,,27,,,5,,3,,173
 BA 47-100 (2ф)  80A IEK !!!,щт-0001014,,,,,,2,,1,,,,,,2,,,,,,,,,,2,,,,,,,2,,,9
" BA 47-100 (2ф) 100А 4,5кА х-ка С IEK !!!",ст-9952399,,,,,,,,,,1,,,,1,,,,,,1,,4,,3,,,,,,,,,,10
 BA 47-100 (3ф)  10А IEK (4/40) !!!,010700049_,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
 BA 47-100 (3ф)  16А IEK (4) !!!,010700047_,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2
 BA 47-100 (3ф)  25А IEK (4/40),010700029_,21,4,21,9,12,8,18,16,33,23,35,20,30,6,17,5,2,13,31,35,18,32,6,26,7,2,7,18,14,28,17,7,16,557
 BA 47-100 (3ф)  32А IEK (4/40),010700030_,45,14,7,2,23,21,26,55,26,14,19,58,34,3,22,14,25,15,29,12,30,23,3,47,6,14,17,28,10,18,38,21,,719
 BA 47-100 (3ф)  40А IEK (4/40),010700031_,37,8,30,3,12,5,50,19,27,22,17,10,37,13,24,4,59,30,48,38,8,9,17,31,15,-1,12,9,41,5,37,7,5,688
 BA 47-100 (3ф)  50А IEK (4/40),010700032_,15,8,40,34,16,17,23,24,55,6,15,15,17,5,4,69,14,29,28,14,13,3,15,18,5,6,44,15,3,12,39,12,10,643
 BA 47-100 (3ф)  63А IEK (4/40),010700001_,69,30,28,48,47,46,25,59,79,63,52,68,64,31,76,64,39,72,65,79,50,57,49,33,55,47,20,19,21,112,105,34,30,1736
 BA 47-100 (3ф)  80А IEK (4/40),010700003_,281,84,176,212,116,98,236,158,197,305,163,168,271,206,141,138,119,100,198,161,144,155,144,126,174,106,53,118,95,122,112,127,59,5063
 BA 47-100 (3ф) 100А IEK (4/40),010700002_,440,362,309,480,431,344,384,578,603,626,504,522,599,665,525,309,439,593,519,542,422,404,360,280,264,347,207,251,188,323,461,376,190,13847
 BA 47-100 (3ф) 80А D IEK !!!,010700021_,4,,,,,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,11
 BA 47-100 (4ф) 100А 10кА х-ка С IEK !!!,ст-9950184,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,3
 BA 47-150 (1ф) 125А 15кА х-ка C IEK !!!,яярп4772,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
 BA 47-150 (3ф) 100А IEK (4/40) ,010700103_,6,3,3,1,1,3,2,4,6,5,3,3,6,1,2,8,3,9,9,3,4,8,1,7,8,,2,5,1,9,4,8,16,154
 BA 47-150 (3ф) 125А IEK (4/40),010700102_,43,42,19,29,27,27,35,39,21,52,54,76,66,35,75,20,50,45,53,13,40,45,28,28,28,45,39,23,30,40,34,39,20,1260
 BA 47-60M (1ф)  6А 6кА С IEK !!!,MVA31-1-006-C,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
 BA 47-60M (1ф) 16А 6кА B IEK E-PRO,010500188_,,,,,,,,,,,,,,,,,,,,,,,,,,72,10,2,,,,,,84
 BA 47-60M (1ф) 16А 6кА С IEK !!!,ярп6058,,,,,,,,,1,,,,,,,,,,,5,,4,,,,,,,,,,,,10
 BA 47-60M (1ф) 40А 6кА С IEK !!!,яярп4814,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
 BA 47-60M (2ф) 10А 6кА С IEK !!!,яярп4532,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5
