№,Код 1с,Артикул поставщика,Наименование,Мин. разр. к отгр.
80,081100710_,LLF-C35-5-230-40-E14-CL,Лампа филаментная LED C35 свеча прозр. 5Вт 230В 4000К E14 серия 360° IEK,10
81,081100711_,LLF-C35-5-230-40-E27-CL,Лампа филаментная LED C35 свеча прозр. 5Вт 230В 4000К E27 серия 360° IEK,10
82,081100713_,LLF-C35-7-230-30-E27-CL,Лампа филаментная LED C35 свеча прозр. 7Вт 230В 3000К E27 серия 360° IEK,10
83,151300041_,LLF-C35-7-230-40-E14-CL,Лампа филаментная LED C35 свеча прозр. 7Вт 230В 4000К E14 серия 360° IEK,10
84,081100714_,LLF-C35-7-230-40-E27-CL,Лампа филаментная LED C35 свеча прозр. 7Вт 230В 4000К E27 серия 360° IEK,10
85,081100715_,LLF-CT35-5-230-30-E14-CL,Лампа филаментная LED CT35 свеча вит. 5Вт 230В 3000К E14 серия 360° IEK,#N/A
86,081100717_,LLF-CT35-5-230-40-E14-CL,Лампа филаментная LED CT35 свеча вит. 5Вт 230В 4000К E14 серия 360° IEK,10
87,081100718_,LLF-CT35-5-230-40-E27-CL,Лампа филаментная LED CT35 свеча вит. 5Вт 230В 4000К E27 серия 360° IEK,10
88,081100719_,LLF-CT35-7-230-30-E14-CL,Лампа филаментная LED CT35 свеча вит. 7Вт 230В 3000К E14 серия 360° IEK,#N/A
89,081100720_,LLF-CT35-7-230-30-E27-CL,Лампа филаментная LED CT35 свеча вит. 7Вт 230В 3000К E27 серия 360° IEK,10
90,081100721_,LLF-CT35-7-230-40-E14-CL,Лампа филаментная LED CT35 свеча вит. 7Вт 230В 4000К E14 серия 360° IEK,10
91,081100722_,LLF-CT35-7-230-40-E27-CL,Лампа филаментная LED CT35 свеча вит. 7Вт 230В 4000К E27 серия 360° IEK,10
92,081100723_,LLF-G95-6-230-30-E27-CLG,Лампа филаментная LED G95 шар золото 6Вт 230В 2700К E27 серия 360° IEK,1
93,081100642_,LLF-G95-8-230-30-E27-CLG,Лампа филаментная LED G95 шар золото 8Вт 230В 2700К E27 серия 360° IEK,1
94,081100724_,LLF-ST64-6-230-30-E27-CLG,Лампа филаментная LED ST64 золото 6Вт 230В 2700К E27 серия 360° IEK,#N/A
95,081100643_,LLF-ST64-8-230-30-E27-CLG,Лампа филаментная LED ST64 золото 8Вт 230В 2700К E27 серия 360° IEK,1
96,151000558_,LLVPOD-EPK-58-1H,"Блок ав-го питания БАП58-1,0 IEK (5)",1
97,150101155_,EPA12-04-02-K02,"Патрон подвесной E27 со шнуром 1,5м RETRO черный IEK",10
98,130300287_,LDD10-008-1100-001,"Датчик движения ДД 008 белый,до 1100 Вт,дальность 12 м IP44 IEK (48)",1
99,151000369_,LDD10-008-1100-002,"Датчик движения ДД 008 черный,до 1100 Вт,дальность 12 м IP44 IEK (48)",1
100,151000691_,LDD10-009-1100-002,"Датчик движения ДД 009 черный,до 1100 Вт,дальность 12 м IP44 IEK (48)",1
101,130300288_,LDD10-010-1100-001,"Датчик движения ДД 010 белый,до 1100 Вт,дальность 10 м IP44 IEK (48)",1
102,151000692_,LDD10-010-1100-002,"Датчик движения ДД 010 черный,до 1100 Вт,дальность 10 м IP44 IEK (48)",1
103,130200298_,LDD10-013-1100-001,"Датчик движения ДД 013 белый,до 1200 Вт,дальность 12 м IP65 IEK (50)",1
104,130200299_,LDD11-016-800-001,"Датчик движения ДД 016 угловой белый,до 800 Вт,дальность 12 м IP44  IEK (50)",1
105,081100779_,LDD13-017-1100-001,"Датчик движения ДД 017 белый, макс. нагрузка 1100Вт, угол обзора 120град., дальность 12м, IP44, ИЭК",#N/A
106,081100771_,LDD10-018B-1100-001,"Датчик движения ДД 018В белый, макс. нагрузка 1100Вт, угол обзора 270град., дальность 12м, IP44, IEK",1
107,081100772_,LDD11-022-2000-001,Датчик движения ДД 022 белый 2000Вт 360гр 4мх20м IP20 IEK,1
108,130200128_,LDD11-024-1100-001,"Датчик движения ДД 024 белый,до 1100 Вт,дальность 6 м IP33 IEK (60)",1
109,130200300_,LDD11-026-2000-001,"Датчик движения ДД 026 белый,до 2000 Вт,дальность 6 м IP20 IEK  (50)",1
110,081100778_,LDD12-035-500-001,"Датчик движения ДД 035 белый, макс. нагрузка 500Вт, угол обзора 140град., дальность 12м, IP20, IEK E",1
111,081100774_,LDD11-201-1200-001,"Датчик движения ДД 201 белый, 1200Вт, 360 гр.,6М,IP20,IEK",1
112,130200302_,LDD11-401-800-001,"Датчик движения ДД 401 белый,до 800 Вт,дальность 8 м IP20 IEK (50)",1
113,130300764_,LDD11-301MB-1200-001,"Датчик движения МВ 301 белый,1200 Вт, 360гр. дальность 8 м IP20 IEK (50)",1
114,130300765_,LDD11-401MB-500-001,"Датчик движения МВ 401 белый, 1200 Вт, 360гр. дальность 8 м IP20 IEK (100)",1
115,130300102_,MTA10-16,Таймер ТЭ15 цифровой 16А 230В на DIN-рейку IEK (100),1
116,130300302_,MTA20-16,Таймер ТЭМ 181 аналоговый 16А 230В на DIN-рейку IEK (100),1
117,130300220_,LFR20-601-2200-003,"Фотореле ФР 601 серый, 2200 Вт IP44 IEK (120)",20
118,130300221_,LFR20-602-4400-003,"Фотореле ФР 602 серый, 5500 Вт IP44 IEK (120)",20
119,081100780_,LFR20-603-2200-K01,Фотореле ФР 603 макс. нагрузка 2200ВА IP66 белый IEK (50),1
120,081100781_,LFR20-604-3300-K01,Фотореле ФР 604 макс. нагрузка 3300ВА IP66 белый IEK,1
121,010500001_,MVA20-1-001-C,ВА47-29 (1ф)   1А IEK (12/144),12
122,010500003_,MVA20-1-002-C,ВА47-29 (1ф)   2А IEK (12/144),12
123,010500068_,MVA20-1-003-C,ВА47-29 (1ф)  3А IEK (12/144),12
124,010500044_,MVA20-1-004-C,ВА47-29 (1ф)  4А IEK (12/144),12
125,010500054_,MVA20-1-005-C,ВА47-29 (1ф)  5А IEK (12/144),12
126,010500004_,MVA20-1-006-C,ВА47-29 (1ф)  6А IEK (12/144),12
127,010500005_,MVA20-1-010-C,ВА47-29 (1ф) 10А IEK (12/144),12
128,010500006_,MVA20-1-016-C,ВА47-29 (1ф) 16А IEK (12/144),12
129,010500007_,MVA20-1-020-C,ВА47-29 (1ф) 20А IEK (12/144),12
130,010500008_,MVA20-1-025-C,ВА47-29 (1ф) 25А IEK (12/144),12
131,010500009_,MVA20-1-032-C,ВА47-29 (1ф) 32А IEK (12/144),12
132,010500010_,MVA20-1-040-C,ВА47-29 (1ф) 40А IEK (12/144),12
133,010500011_,MVA20-1-050-C,ВА47-29 (1ф) 50А IEK (12/144),12
134,010500012_,MVA20-1-063-C,ВА47-29 (1ф) 63А IEK (12/144),12
135,010500103_,MVA20-2-006-C,ВА47-29 (2ф)  6А IEK (6/72),6
136,010500018_,MVA20-2-010-C,ВА47-29 (2ф) 10А IEK (6/72),6
137,010500019_,MVA20-2-016-C,ВА47-29 (2ф) 16А IEK (6/72),6
138,010500020_,MVA20-2-020-C,ВА47-29 (2ф) 20А IEK (6/72),6
139,010500021_,MVA20-2-025-C,ВА47-29 (2ф) 25А IEK (6/72),6
140,010500022_,MVA20-2-032-C,ВА47-29 (2ф) 32А IEK (6/72),6
141,010500023_,MVA20-2-040-C,ВА47-29 (2ф) 40А IEK (6/72),6
142,010500024_,MVA20-2-050-C,ВА47-29 (2ф) 50А IEK (6/72),6
143,010500025_,MVA20-2-063-C,ВА47-29 (2ф) 63А IEK (6/72),6
144,010500046_,MVA20-3-002-C,ВА47-29 (3ф)  2А IEK (4/48),4
145,010500053_,MVA20-3-003-C,ВА47-29 (3ф)  3А IEK (4/48),4
146,010500047_,MVA20-3-004-C,ВА47-29 (3ф)  4А IEK (4/48),4
147,010500048_,MVA20-3-006-C,ВА47-29 (3ф)  6А IEK (4/48),4
148,010500032_,MVA20-3-010-C,ВА47-29 (3ф) 10А IEK (4/48),4
149,010500033_,MVA20-3-016-C,ВА47-29 (3ф) 16А IEK (4/48),4
150,010500034_,MVA20-3-020-C,ВА47-29 (3ф) 20А IEK (4/48),4
151,010500035_,MVA20-3-025-C,ВА47-29 (3ф) 25А IEK (4/48),4
152,010500036_,MVA20-3-032-C,ВА47-29 (3ф) 32А IEK (4/48),4
153,010500037_,MVA20-3-040-C,ВА47-29 (3ф) 40А IEK (4/48),4
154,010500038_,MVA20-3-050-C,ВА47-29 (3ф) 50А IEK (4/48),4
155,010500039_,MVA20-3-063-C,ВА47-29 (3ф) 63А IEK (4/48),4
156,010500090_,MVA20-4-016-C,ВА47-29 (4ф) 16А IEK (3/36),3
157,010500091_,MVA20-4-020-C,ВА47-29 (4ф) 20А IEK (3/36),3
158,010500092_,MVA20-4-025-C,ВА47-29 (4ф) 25А IEK (3/36),3
159,010500093_,MVA20-4-032-C,ВА47-29 (4ф) 32А IEK (3/36),3
160,010500094_,MVA20-4-040-C,ВА47-29 (4ф) 40А IEK (3/36),3
161,010500063_,MVA20-4-050-C,ВА47-29 (4ф) 50A IEK (3/36),3
162,010500095_,MVA20-4-063-C,ВА47-29 (4ф) 63А IEK (3/36),3
163,010700029_,MVA40-3-025-C, BA 47-100 (3ф)  25А IEK (4/40),4
164,010700030_,MVA40-3-032-C, BA 47-100 (3ф)  32А IEK (4/40),4
165,010700031_,MVA40-3-040-C, BA 47-100 (3ф)  40А IEK (4/40),4
166,010700032_,MVA40-3-050-C, BA 47-100 (3ф)  50А IEK (4/40),4
167,010700001_,MVA40-3-063-C, BA 47-100 (3ф)  63А IEK (4/40),4
168,010700003_,MVA40-3-080-C, BA 47-100 (3ф)  80А IEK (4/40),4
169,010700002_,MVA40-3-100-C, BA 47-100 (3ф) 100А IEK (4/40),4
170,010700103_,MVA50-3-100-C, BA 47-150 (3ф) 100А IEK (4/40) ,1
171,010700102_,MVA50-3-125-C, BA 47-150 (3ф) 125А IEK (4/40),1
172,010800009_,SVA10-3-0016,ВА 88-32 (3ф)  16А IEK (1/20),1
173,010800018_,SVA10-3-0025,ВА 88-32 (3ф)  25А IEK (1/20),1
174,010800010_,SVA10-3-0032,ВА 88-32 (3ф)  32А IEK (1/20),1
175,010800011_,SVA10-3-0040,ВА 88-32 (3ф)  40А IEK (1/20),1
176,010800015_,SVA10-3-0050,ВА 88-32 (3ф)  50А IEK (1/20),1
177,010800016_,SVA10-3-0063,ВА 88-32 (3ф)  63А IEK (1/20),1
178,010800017_,SVA10-3-0080,ВА 88-32 (3ф)  80А IEK (1/20),1
179,010800001_,SVA10-3-0100,ВА 88-32 (3ф) 100А IEK (1/20),1
180,010800002_,SVA10-3-0125,ВА 88-32 (3ф) 125А IEK (1/20),1
181,010800033_,SVA20-3-0080,ВА 88-33 (3ф)  80А IEK (1/16),1
182,010800027_,SVA20-3-0100,ВА 88-33 (3ф) 100А IEK (1/16),1
183,010800028_,SVA20-3-0125,ВА 88-33 (3ф) 125А IEK (1/16),1
184,010800003_,SVA20-3-0160,ВА 88-33 (3ф) 160А IEK (1/16),1
185,010800034_,SVA30-3-0125,ВА 88-35 (3ф) 125А IEK (1/6),1
186,010800035_,SVA30-3-0160,ВА 88-35 (3ф) 160А IEK (1/6),1
187,010800012_,SVA30-3-0200,ВА 88-35 (3ф) 200А IEK (1/6),1
188,010800004_,SVA30-3-0250,ВА 88-35 (3ф) 250А IEK (1/6),1
189,010800055_,SVA40-3-0250,ВА 88-37 (3ф) 250А IEK (1/4),1
190,010800029_,SVA40-3-0315,ВА 88-37 (3ф) 315А IEK (1/4),1
191,010800005_,SVA40-3-0400,ВА 88-37 (3ф) 400А IEK (1/4),1
192,010800030_,SVA50-3-0500,ВА 88-40 (3ф) 500А IEK (1/2),1
193,010800006_,SVA50-3-0630,ВА 88-40 (3ф) 630А IEK (1/2),1
194,010800031_,SVA50-3-0800,ВА 88-40 (3ф) 800А IEK (1/2),1
195,010800044_,SVA61-3-1000,ВА 88-43 (3ф) 1000А 50кА с эл расц МР 211 IEK (1),1
196,010800045_,SVA61-3-1250,ВА 88-43 (3ф) 1250А 50кА с эл расц МР 211 IEK (1),1
197,010800046_,SVA61-3-1600,ВА 88-43 (3ф) 1600А 50 кА с эл расц МР 211 IEK (1),1
198,010700055_,SVA4410-3-0080,ВА 44-33 (3ф)  80А IEK (1/20),1
199,010800139_,SVA4410-3-0250,ВА 44-35 (3ф) 250А IEK (1/6),1
200,010300094_,MAD22-5-006-C-30, УЗО АВДТ 32   6А IEK  (6/60),1
201,010300074_,MAD22-5-010-C-30, УЗО АВДТ 32  10А IEK  (6/60),1
202,010300075_,MAD22-5-016-C-30, УЗО АВДТ 32  16А IEK  (6/60),1
203,010300095_,MAD22-5-020-C-30, УЗО АВДТ 32  20А IEK  (6/60),1
204,010300053_,MAD22-5-025-C-30, УЗО АВДТ 32  25А IEK  (6/60),1
205,010300121_,MAD22-5-032-C-30, УЗО АВДТ 32  32А IEK  (6/60),1
206,010300096_,MAD22-5-040-C-30, УЗО АВДТ 32  40А IEK  (6/60),1
207,010300001_,MAD10-2-010-C-030, УЗО АД 12  (2ф) 10А IEK (5/40),1
208,010300002_,MAD10-2-016-C-030, УЗО АД 12  (2ф) 16А IEK (5/40),1
209,010300123_,MAD10-2-020-C-030, УЗО АД 12  (2ф) 20А IEK (5/40),1
210,010300003_,MAD10-2-025-C-030, УЗО АД 12  (2ф) 25А IEK (5/40),1
211,010300004_,MAD10-2-032-C-030, УЗО АД 12  (2ф) 32А IEK (5/40),1
212,010300005_,MAD10-2-040-C-030, УЗО АД 12  (2ф) 40А IEK (4/32),1
213,010300006_,MAD10-2-050-C-030, УЗО АД 12  (2ф) 50А IEK (4/32),1
214,010300007_,MAD10-2-063-C-030, УЗО АД 12  (2ф) 63А IEK (4/32),1
215,010300124_,MAD10-4-010-C-030, УЗО АД 14  (4ф) 10А IEK (3/24),3
216,010300008_,MAD10-4-016-C-030, УЗО АД 14  (4ф) 16А IEK (3/24),1
217,010300009_,MAD10-4-025-C-030, УЗО АД 14  (4ф) 25А IEK (3/24),1
218,010300010_,MAD10-4-032-C-030, УЗО АД 14  (4ф) 32А IEK (3/24),1
219,010300011_,MAD10-4-040-C-030, УЗО АД 14  (4ф) 40А IEK (3/24),1
220,010300012_,MAD10-4-050-C-030, УЗО АД 14  (4ф) 50А IEK (3/24),3
221,010300013_,MAD10-4-063-C-030, УЗО АД 14  (4ф) 63А IEK (3/24),1
222,010300068_,MAD12-2-025-C-030, УЗО АД12М  (2ф) 25А IEK (5/40),1
223,010300069_,MAD12-2-032-C-030, УЗО АД12М  (2ф) 32А IEK (5/40),1
224,010300014_,MDV10-2-016-030, УЗО ВД1 63 (2ф) 16А IEK  (1/48),1
225,010300015_,MDV10-2-025-030, УЗО ВД1 63 (2ф) 25А 30мА IEK  (1/48),1
226,010300016_,MDV10-2-032-030, УЗО ВД1 63 (2ф) 32А 30мА IEK  (1/48),1
227,010300017_,MDV10-2-040-030, УЗО ВД1 63 (2ф) 40А 30мА  IEK  (1/48),1
228,010300018_,MDV10-2-050-030, УЗО ВД1 63 (2ф) 50А 30мА IEK  (1/48),1
229,010300057_,MDV10-2-063-030, УЗО ВД1 63 (2ф) 63А 30мА IEK  (1/48),1
230,010300052_,MDV10-4-016-030, УЗО ВД1-63 (4ф) 16А 30мА IEK  (1/24),1
231,010300019_,MDV10-4-025-030, УЗО ВД1-63 (4ф) 25А 30мА IEK  (1/24),1
232,010300020_,MDV10-4-032-030, УЗО ВД1-63 (4ф) 32А 30мА IEK  (1/24),1
233,010300023_,MDV10-4-040-030, УЗО ВД1-63 (4ф) 40А 30мА IEK  (1/24),1
234,010300024_,MDV10-4-050-030, УЗО ВД1-63 (4ф) 50А 30мА IEK  (1/24),1
235,010300021_,MDV10-4-063-030, УЗО ВД1-63 (4ф) 63А 30мА IEK  (1/24),1
236,010700168_,AR-B06S-1N-C10C030,УЗО АВДТ 1P+NP 10 А 30мА ARMAT IEK (12),12
237,010700169_,AR-B06S-1N-C16C030,УЗО АВДТ 1P+NP 16 А 30мА ARMAT IEK (12),12
238,010700170_,AR-B06S-1N-C20C030,УЗО АВДТ 1P+NP 20 А 30мА ARMAT IEK (12),12
239,010700171_,AR-B06S-1N-C25C030,УЗО АВДТ 1P+NP 25 А 30мА ARMAT IEK (12),12
240,010700172_,AR-B06S-1N-C32C030,УЗО АВДТ 1P+NP 32 А 30мА ARMAT IEK (1),1
241,010700167_,AR-B06S-1N-C06C030,УЗО АВДТ 1P+NP 6 А 30мА ARMAT IEK (12),12
242,010700161_,AR-R10N-2-025C030,УЗО АВДТ 2(ф) 25А 30мА ARMAT IEK (1),1
243,010700162_,AR-R10N-2-040C030,УЗО АВДТ 2(ф) 40А 30мА ARMAT IEK (6),6
244,010700163_,AR-R10N-2-063C030,УЗО АВДТ 2(ф) 63А 30мА ARMAT IEK (6),6
245,010700164_,AR-R10N-4-025C030,УЗО АВДТ 4(ф) 25А 30мА ARMAT IEK (3),3
246,010700165_,AR-R10N-4-040C030,УЗО АВДТ 4(ф) 40А 30мА ARMAT IEK (3),3
247,010700166_,AR-R10N-4-063A030,УЗО АВДТ 4(ф) 63А 30мА ARMAT IEK (3),3
248,010700134_,AR-M06N-1-C010,ARMAT (1ф) 10А C IEK (1),1
249,010700135_,AR-M06N-1-C016,ARMAT (1ф) 16А C IEK (1),1
250,010700136_,AR-M06N-1-C020,ARMAT (1ф) 20А C IEK (1),1
251,010700137_,AR-M06N-1-C025,ARMAT (1ф) 25А C IEK (1),1
252,010700138_,AR-M06N-1-C032,ARMAT (1ф) 32А C IEK (1),1
253,010700139_,AR-M06N-1-C040,ARMAT (1ф) 40А C IEK (1),1
254,010700140_,AR-M06N-1-C050,ARMAT (1ф) 50А C IEK (1),1
