feature,mae_increase,std
lag_3,-0.003914820966610518,0.0006383918416548881
lag_2,-0.0038008096326895093,0.0003731533683439996
log_scale,-0.0021095491131679265,0.0001856960243292459
cv_12,-0.0007742248439997305,8.813422472167625e-05
baseline_ratio,-0.0006576477062017657,0.0003673012426506174
lag_1,-0.0005808607238262375,0.0014599266750343668
month_sin,-0.0003780888091894363,0.00022037989812122042
supplier,0.0,0.0
lag_12,0.0,0.0
lag_6,0.0,0.0
month_cos,0.0,0.0
unit,0.0,0.0
lead,0.0,0.0
seasonal_index,8.99636081966489e-05,4.845241349207705e-06
trend_factor,0.0010238632176620503,0.0003230819127002023
category,0.0019666816152799824,0.0005502401611679892
mean_3,0.00421999627199147,0.0002422277986782291
mean_6,0.004487811874949473,0.0004693818553814175
nonzero_12,0.08512163795030314,0.0012660637287771712
